漢字,答え,ヒント,例（日本語）,例（英語）
住む,すむ,to live,~,~
所,ところ,place,~,~
住所,じゅうしょ,address,~,~
台所,だいどころ,kitchen,~,~
場所,ばしょ,place,~,~
東京,とうきょう,Tokyo,~,~
東京都,とうきょうと,metropolis of Tokyo,~,~
都合がいい,つごうがいい,convenient,~,~
首都,しゅと,capital,~,~
京都府,きょうとふ,Kyoto prefecture,~,~
山口県,やまぐちけん,Yamaguchi prefecture,~,~
京都市,きょうとし,Kyoto City,~,~
市長,しちょう,mayor,~,~
市場,いちば,market,~,~
北区,きたく,north ward,~,~
町,まち,town,~,~
下町,したまち,downtown,~,~
村,むら,village,~,~
村人,むらびと,villager,~,~
明るい,あかるい,bright; cheerful,~,~
明日,あした,tomorrow,~,~
説明,せつめい,explanation,~,~
発明,はつめい,invention,~,~
暗い,くらい,dark,~,~
遠い,とおい,far,~,~
近い,ちかい,near,~,~
近所,きんじょ,neighborhood,~,~
最近,さいきん,recently,~,~
強い,つよい,strong,~,~
勉強する,べんきょうする,to study,~,~
弱い,よわい,weak,~,~
強弱,きょうじゃく,strong and weak,~,~
重い,おもい,heavy,~,~
重大な,じゅうだいな,important,~,~
体重,たいじゅう,body weight,~,~
軽い,かるい,light (weight),~,~
太い,ふとい,fat,~,~
細い,ほそい,slender; slim,~,~
細かい,こまかい,fine; very small,~,~
時に,とくに,especially,~,~
特別な,とくべつな,special,~,~
特急,とっきゅう,limited express,~,~
別れる,わかれる,to separate,~,~
別々に,べつべつに,separately,~,~
区別する,くべつする,to distinguish,~,~
分別する,ぶんべつする,to classify,~,~
有る,ある,to exist; to be,~,~
有名な,ゆうめいな,famous,~,~
便利な,べんりな,convenient,~,~
利用する,りようする,to use,~,~
利子,りし,interest,~,~
不便な,ふべんな,inconvenient,~,~
切る,きる,to cut,~,~
切手,きって,postage stamp,~,~
大切な,たいせつな,important,~,~
親切な,しんせつな,kind,~,~
元気な,げんきな,healthy; energetic; active,~,~
元日,がんじつ,New Year's Day,~,~
好きな,すきな,like; favorite,~,~
急に,きゅうに,suddenly,~,~
急ぐ,いそぐ,to hurry,~,~
低い,ひくい,low,~,~
広い,ひろい,wide; spacious,~,~
短い,みじかい,short,~,~
良い,よい,good,~,~
悪い,わるい,bad,~,~
正しい,ただしい,correct,~,~
正月,しょうがつ,New Year,~,~
変わる,かわる,to change,~,~
変な,へんな,strange,~,~
大変な,たいへんな,hard; difficult,~,~
変化する,へんかする,to change,~,~
赤い,あかい,red,~,~
赤ちゃん,あかちゃん,baby,~,~
青い,あおい,blue,~,~
青空,あおぞら,blue sky,~,~
黒い,くろい,black,~,~
