漢字,答え,ヒント,例（日本語）,例（英語）
映す,to reflect,うつす,~,~
映画,movie,えいが,~,~
映画館,movie theater,えいがかん,~,~
計画,plan,けいかく,~,~
画家,painer,がか,~,~
日本画,Japanese painting,にほんが,~,~
音,sound,おと,~,~
発音,pronounciation,はつおん,~,~
高音,high note,こうおん,~,~
楽しい,enjoyable,たのしい,~,~
音楽,music,おんがく,~,~
楽な,easy,らくな,~,~
歌う,sing,うたう,~,~
歌手,singer,かしゅ,~,~
写真,photograph,しゃしん,~,~
写す,to copy,うつす,~,~
真ん中,midmost,まんなか,~,~
真実,truth,しんじつ,~,~
旅行する,to take a trip,りょこうする,~,~
旅館,Japanese style hotel,りょかん,~,~
旅,trip,たび,~,~
世話をする,to take care of,せわをする,~,~
世の中,world; society,よのなか,~,~
世紀,nth century,せいき,~,~
世界,world,せかい,~,~
政界,political world,せいかい,~,~
仕事,job,しごと,~,~
仕方がない,there is no choice,しかたがない,~,~
火事,fire,かじ,~,~
用事,business,ようじ,~,~
大事な,important,だいじな,~,~
事,matter,こと,~,~
銀,silver,ぎん,~,~
銀行,bank,ぎんこう,~,~
会社員,company employee,かいしゃいん,~,~
銀行員,bank clerk,ぎんこういん,~,~
店員,clerk,てんいん,~,~
会員,membership,かいいん,~,~
医者,doctor,いしゃ,~,~
医学,medical science,いがく,~,~
者,person,もの,~,~
歯医者,dentist,はいしゃ,~,~
学者,scholar,がくしゃ,~,~
作者,author,さくしゃ,~,~
働く,to work,はたらく,~,~
労働者,laborer; worker,ろうどうしゃ,~,~
本屋,book store,ほんや,~,~
屋上,roof top,おくじょう,~,~
八百屋,grocery,やおや,~,~
部屋,room,へや,~,~
産む,to give birth,うむ,~,~
生産する,to produce,せいさんする,~,~
財産,fortune,ざいさん,~,~
産業,industry,さんぎょう,~,~
工業,manufacture,こうぎょう,~,~
授業,class; lesson,じゅぎょう,~,~
本日休業,closed today,ほんじつきゅうぎょう,~,~
林,wood; grove,はやし,~,~
小林さん,Mr. Kobayashi,こばやしさん,~,~
林道,forest road,りんどう,~,~
森,forest,もり,~,~
地図,map,ちず,~,~
地下鉄,subway,ちかてつ,~,~
土地,land,とち,~,~
地震,earthquake,じしん,~,~
池,pond,いけ,~,~
電池,battery,でんち,~,~
海,the sea; the ocean,うみ,~,~
海外,overseas,かいがい,~,~
北海道,Hokkaido,ほっかいどう,~,~
西洋,the West,せいよう,~,~
東洋,the East,とうよう,~,~
洋服,Western clothes,ようふく,~,~
雪,snow,ゆき,~,~
大雪,heavy snow,おおゆき,~,~
光,light,ひかり,~,~
光る,to shine,ひかる,~,~
日光,sunlight,にっこう,~,~
台,table,だい,~,~
台所,kitchen,だいどころ,~,~
～台,counter for machines,～だい,~,~
土台,foundation,どだい,~,~
風,wind,かぜ,~,~
台風,typhoon,たいふう,~,~
洋風,Western style,ようふう,~,~
四季,four seasons,しき,~,~
季節,season,きせつ,~,~
春,spring,はる,~,~
青春,youth,せいしゅん,~,~
夏,summer,なつ,~,~
夏休み,summer holidays,なつやすみ,~,~
夏祭り,summer festival,なつまつり,~,~
夏服,summer clothes,なつふく,~,~
秋,autumn,あき,~,~
秋田県,Akita prefecture,あきたけん,~,~
冬,winter,ふゆ,~,~
冬休み,winter holidays,ふゆやすみ,~,~
暑い,hot,あつい,~,~
寒い,cold,さむい,~,~
暖かい,warm,あたたかい,~,~
涼しい,cool,すずしい,~,~
