漢字,答え,ヒント,例（日本語）,例（英語）
駐,ちゅう;cyuu;chuu,stop-over;reside in;resident,~,~
駐車,ちゅうしゃ;cyuusya;chuusya;cyuusha;chuusha,park;parking,~,~
駐車場,ちゅうしゃじょう;cyuusyajyou;chuusyajyou;cyuushajyou;chuushajyou,parking lot,~,~
無,む;ない;mu;nai,not existing; none,~,~
無休,むきゅう;mukyuu,work without a holiday;work without a holiday,~,~
無理(な),むり;むりな;muri;murina,unreasonable;impossible,~,~
無料,むりょう;muryou,free;free of charge,~,~
無い,ない;nai,does not exist;do not have;gone,~,~
満,まん;man,being full;full,~,~
満車,まんしゃ;mansya;mansha,full of cars;full (of cars);full(of cars),~,~
不満(な),ふまん;ふまんな;fuman;fumanna,dissatisfaction;dissatisfied,~,~
満員,まんいん;manin;manin,full of people;full (of people);full(of people),~,~
向,こう;むこう;むかう;むき;kou;mukou;mukau;muki,facing;toward;beyond,~,~
方向,ほうこう;houkou,direction,~,~
向かう,向かう;mukau,go forward,~,~
向こう,むこう;mukou,over there;beyond,~,~
○○向き,むき;muki,suitable for,~,~
禁,きん;kin,ban;prohibition,~,~
禁止,きんし;kinshi,ban;prohibition,~,~
関,かん;せき;kan;seki;,barrier;gate;connection;related,~,~
関心,かんしん;kanshin,interest,~,~
関する,かんする;kansuru,related,~,~
関係,かんけい;kankei,relation;connection,~,~
係,かかり;kakari,person in charge,~,~
断,だん;dan,decision;judgement;resolution,~,~
無断,むだん;mudan,without permission,~,~
断る,ことわる;kotowaru,refuse,~,~
断水,だんすい;dansui,suspension of water supply,~,~
