漢字,答え,ヒント,例（日本語）,例（英語）
駐,stop-over;reside in;resident,ちゅう;cyuu;chuu,~,~
駐車,park;parking,ちゅうしゃ;cyuusya;chuusya;cyuusha;chuusha,~,~
駐車場,parking lot,ちゅうしゃじょう;cyuusyajyou;chuusyajyou;cyuushajyou;chuushajyou,~,~
無,not existing; none,む;ない;mu;nai,~,~
無休,work without a holiday;work without a holiday,むきゅう;mukyuu,~,~
無理(な),unreasonable;impossible,むり;むりな;muri;murina,~,~
無料,free;free of charge,むりょう;muryou,~,~
無い,does not exist;do not have;gone,ない;nai,~,~
満,being full;full,まん;man,~,~
満車,full of cars;full (of cars);full(of cars),まんしゃ;mansya;mansha,~,~
不満(な),dissatisfaction;dissatisfied,ふまん;ふまんな;fuman;fumanna,~,~
満員,full of people;full (of people);full(of people),まんいん;manin;manin,~,~
向,facing;toward;beyond,こう;むこう;むかう;むき;kou;mukou;mukau;muki,~,~
方向,direction,ほうこう;houkou,~,~
向かう,go forward,向かう;mukau,~,~
向こう,over there;beyond,むこう;mukou,~,~
○○向き,suitable for,むき;muki,~,~
禁,ban;prohibition,きん;kin,~,~
禁止,ban;prohibition,きんし;kinshi,~,~
関,barrier;gate;connection;related,かん;せき;kan;seki;,~,~
関心,interest,かんしん;kanshin,~,~
関する,related,かんする;kansuru,~,~
関係,relation;connection,かんけい;kankei,~,~
係,person in charge,かかり;kakari,~,~
断,decision;judgement;resolution,だん;dan,~,~
無断,without permission,むだん;mudan,~,~
断る,refuse,ことわる;kotowaru,~,~
断水,suspension of water supply,だんすい;dansui,~,~
